"genesysId","instCode","name","aliasType","lang","version"
"2509478","","No.9182","ACCENAME","","0"
"2509478","","049","COLLNUMB","","0"
"2509479","","005","OTHERNUMB","","0"
"2509479","","Fowl-Fat","ACCENAME","","0"
"2509479","","005","COLLNUMB","","0"
"2509481","","011","OTHERNUMB","","0"
"2509481","","No.2862","ACCENAME","","0"
"2509481","","011","COLLNUMB","","0"
"2509482","","019","OTHERNUMB","","0"
"2509482","","No.9588","ACCENAME","","0"
"2509482","","019","COLLNUMB","","0"
"2509483","","026","OTHERNUMB","","0"
"2509483","","1-C","ACCENAME","","0"
"2509483","","026","COLLNUMB","","0"
"2509484","","037","OTHERNUMB","","0"
"2509484","","No.9589","ACCENAME","","0"
"2509484","","037","COLLNUMB","","0"
"2509485","","040","OTHERNUMB","","0"
"2509485","","No.9584","ACCENAME","","0"
"2509485","","040","COLLNUMB","","0"
"2509486","","041","OTHERNUMB","","0"
"2509486","","No.9596","ACCENAME","","0"
"2509486","","041","COLLNUMB","","0"
"2509487","","001","OTHERNUMB","","0"
"2509487","","Pana De Corozal","ACCENAME","","0"
"2509487","","001","COLLNUMB","","0"
"2509493","","007","OTHERNUMB","","0"
"2509493","","Motelo Rumo","ACCENAME","","0"
"2509493","","007","COLLNUMB","","0"
"2509496","","Lakan","ACCENAME","","0"
"2509497","","Datu","ACCENAME","","0"
"2509498","","007","OTHERNUMB","","0"
"2509498","","Motelo Rumo","ACCENAME","","0"
"2509498","","007","COLLNUMB","","0"
"2509499","","UNPRG 217","OTHERNUMB","","0"
"2509499","","Yuca Blanca","ACCENAME","","0"
"2509500","","UNPRG 214","OTHERNUMB","","0"
"2509500","","Palo Verde","ACCENAME","","0"
"2509501","","UNPRG 186","OTHERNUMB","","0"
"2509501","","Poblana","ACCENAME","","0"
"2509502","","UNPRG 187","OTHERNUMB","","0"
"2509502","","Ingerta","ACCENAME","","0"
"2509503","","UNPRG 210","OTHERNUMB","","0"
"2509503","","Sauce Tondopa","ACCENAME","","0"
"2509504","","UNPRG 211","OTHERNUMB","","0"
"2509504","","Punche","ACCENAME","","0"
"2509505","","UNPRG 212","OTHERNUMB","","0"
"2509505","","Victoria","ACCENAME","","0"
"2509506","","Mayro","ACCENAME","","0"
"2509507","","7590","OTHERNUMB","","0"
"2509507","","Velamuem","ACCENAME","","0"
"2509507","","7590","COLLNUMB","","0"
"2509508","","7582","OTHERNUMB","","0"
"2509508","","7582","COLLNUMB","","0"
"2509509","","7561","OTHERNUMB","","0"
"2509509","","7561","COLLNUMB","","0"
"2509510","","7564","OTHERNUMB","","0"
"2509510","","7564","COLLNUMB","","0"
"2509511","","7572","OTHERNUMB","","0"
"2509511","","Yucamani","ACCENAME","","0"
"2509511","","7572","COLLNUMB","","0"
"2509512","","7576","OTHERNUMB","","0"
"2509512","","Lapicero","ACCENAME","","0"
"2509512","","7576","COLLNUMB","","0"
"2509513","","7580","OTHERNUMB","","0"
"2509513","","Chwo","ACCENAME","","0"
"2509513","","7580","COLLNUMB","","0"
"2509514","","7533","OTHERNUMB","","0"
"2509514","","Chauchamuem","ACCENAME","","0"
"2509514","","7533","COLLNUMB","","0"
"2509515","","7543","OTHERNUMB","","0"
"2509515","","Chebehuamuem","ACCENAME","","0"
"2509515","","7543","COLLNUMB","","0"
"2509516","","7552","OTHERNUMB","","0"
"2509516","","Ashapellemuem","ACCENAME","","0"
"2509516","","7552","COLLNUMB","","0"
"2509517","","7554","OTHERNUMB","","0"
"2509517","","Se$Oritamuem","ACCENAME","","0"
"2509517","","7554","COLLNUMB","","0"
"2509518","","7526","OTHERNUMB","","0"
"2509518","","Shohuamuem","ACCENAME","","0"
"2509518","","7526","COLLNUMB","","0"
"2509519","","7531","OTHERNUMB","","0"
"2509519","","Tsamatsmuem","ACCENAME","","0"
"2509519","","7531","COLLNUMB","","0"
"2509520","","7515","OTHERNUMB","","0"
"2509520","","Yapamuem","ACCENAME","","0"
"2509520","","7515","COLLNUMB","","0"
"2509521","","7514","OTHERNUMB","","0"
"2509521","","Tsecanomuem","ACCENAME","","0"
"2509521","","7514","COLLNUMB","","0"
"2509522","","7485","OTHERNUMB","","0"
"2509522","","Moratchemam","ACCENAME","","0"
"2509522","","7485","COLLNUMB","","0"
"2509523","","7501","OTHERNUMB","","0"
"2509523","","Tomarrocamuem","ACCENAME","","0"
"2509523","","7501","COLLNUMB","","0"
"2509524","","7502","OTHERNUMB","","0"
"2509524","","Asharecomuem","ACCENAME","","0"
"2509524","","7502","COLLNUMB","","0"
"2509525","","7478","OTHERNUMB","","0"
"2509525","","7478","COLLNUMB","","0"
"2509526","","7472","OTHERNUMB","","0"
"2509526","","Mampashi#Oret","ACCENAME","","0"
"2509526","","7472","COLLNUMB","","0"
"2509527","","7467","OTHERNUMB","","0"
"2509527","","Pwellonreman","ACCENAME","","0"
"2509527","","7467","COLLNUMB","","0"
"2509528","","7457","OTHERNUMB","","0"
"2509528","","Porrichiquiri","ACCENAME","","0"
"2509528","","7457","COLLNUMB","","0"
"2509529","","7453","OTHERNUMB","","0"
"2509529","","Peltomrellamam","ACCENAME","","0"
"2509529","","7453","COLLNUMB","","0"
"2509530","","7451","OTHERNUMB","","0"
"2509530","","Shivmam","ACCENAME","","0"
"2509530","","7451","COLLNUMB","","0"
"2509531","","7433","OTHERNUMB","","0"
"2509531","","Aspanamam","ACCENAME","","0"
"2509531","","7433","COLLNUMB","","0"
"2509532","","7444","OTHERNUMB","","0"
"2509532","","7444","COLLNUMB","","0"
"2509533","","7416","OTHERNUMB","","0"
"2509533","","7416","COLLNUMB","","0"
"2509534","","7400","OTHERNUMB","","0"
"2509534","","Yenasom","ACCENAME","","0"
"2509534","","7400","COLLNUMB","","0"
"2509535","","7598","OTHERNUMB","","0"
"2509535","","Huallamatemuem","ACCENAME","","0"
"2509535","","7598","COLLNUMB","","0"
"2509536","","7596","OTHERNUMB","","0"
"2509536","","Asponamuem","ACCENAME","","0"
"2509536","","7596","COLLNUMB","","0"
"2509537","","7597","OTHERNUMB","","0"
"2509537","","Otemuem","ACCENAME","","0"
"2509537","","7597","COLLNUMB","","0"
"2509538","","7594","OTHERNUMB","","0"
"2509538","","Gepamuem","ACCENAME","","0"
"2509538","","7594","COLLNUMB","","0"
"2509539","","7595","OTHERNUMB","","0"
"2509539","","Mehstamuem","ACCENAME","","0"
"2509539","","7595","COLLNUMB","","0"
"2509540","","7593","OTHERNUMB","","0"
"2509540","","Tocta#O","ACCENAME","","0"
"2509540","","7593","COLLNUMB","","0"
"2509541","","7592","OTHERNUMB","","0"
"2509541","","Chebelhuamuem","ACCENAME","","0"
"2509541","","7592","COLLNUMB","","0"
"2509542","","7589","OTHERNUMB","","0"
"2509542","","Atamuem","ACCENAME","","0"
"2509542","","7589","COLLNUMB","","0"
"2509543","","7591","OTHERNUMB","","0"
"2509543","","Somemuem","ACCENAME","","0"
"2509543","","7591","COLLNUMB","","0"
"2509544","","7581","OTHERNUMB","","0"
"2509544","","Cashehuo","ACCENAME","","0"
"2509544","","7581","COLLNUMB","","0"
"2509545","","7583","OTHERNUMB","","0"
"2509545","","Yapamem?","ACCENAME","","0"
"2509545","","7583","COLLNUMB","","0"
"2509546","","7579","OTHERNUMB","","0"
"2509546","","Arotamuem","ACCENAME","","0"
"2509546","","7579","COLLNUMB","","0"
"2509547","","7587","OTHERNUMB","","0"
"2509547","","Sanpayomuem","ACCENAME","","0"
"2509547","","7587","COLLNUMB","","0"
"2509548","","7586","OTHERNUMB","","0"
"2509548","","Petitamuem","ACCENAME","","0"
"2509548","","7586","COLLNUMB","","0"
"2509549","","7578","OTHERNUMB","","0"
"2509549","","Morada","ACCENAME","","0"
"2509549","","7578","COLLNUMB","","0"
"2509550","","7574","OTHERNUMB","","0"
"2509550","","Payil","ACCENAME","","0"
"2509550","","7574","COLLNUMB","","0"
"2509551","","7570","OTHERNUMB","","0"
"2509551","","Yets$Orromuem","ACCENAME","","0"
"2509551","","7570","COLLNUMB","","0"
"2509552","","7559","OTHERNUMB","","0"
"2509552","","Sharpemuem","ACCENAME","","0"
"2509552","","7559","COLLNUMB","","0"
"2509553","","7562","OTHERNUMB","","0"
"2509553","","Asfarfecomuem?","ACCENAME","","0"
"2509553","","7562","COLLNUMB","","0"
"2509554","","7563","OTHERNUMB","","0"
"2509554","","Yetspamuem?","ACCENAME","","0"
"2509554","","7563","COLLNUMB","","0"
"2509555","","7555","OTHERNUMB","","0"
"2509555","","Rio Negro Muem","ACCENAME","","0"
"2509555","","7555","COLLNUMB","","0"
"2509556","","7556","OTHERNUMB","","0"
"2509556","","Tsamatemuem","ACCENAME","","0"
"2509556","","7556","COLLNUMB","","0"
"2509557","","7557","OTHERNUMB","","0"
"2509557","","Nahuehuamuem","ACCENAME","","0"
"2509557","","7557","COLLNUMB","","0"
"2509558","","7553","OTHERNUMB","","0"
